,Char,Team,Batting Pos.,Hits,At Bats,Singles,Doubles,Triples,Homeruns,Total Bases,RBIs,Walks Taken,Sac Flys,Plate Appearances,Steals,Runs,Big Plays,IP,Earned Runs,K's,Walks Pitched,Hits Allowed,Wins,Pitches,Star Pitches
1994,Mario 1,Super63,5,2,4,1,1,0,0,3,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
1995,Diddy 1,Super63,6,1,4,1,0,0,0,1,0,0,0,4,0,0,0,4.666667,9,5,1,8,0,76,0
1996,Dixie 1,Super63,7,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
1997,Toad(P) 1,Super63,8,1,3,0,0,0,1,4,1,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
1998,Noki(G) 1,Vickless,0,3,4,3,0,0,0,3,0,0,0,4,0,2,0,0.0,0,0,0,0,0,0,0
1999,Birdo 1,Vickless,1,3,4,3,0,0,0,3,1,0,0,4,0,0,2,0.0,0,0,0,1,0,4,1
2000,Petey 1,Vickless,2,1,4,1,0,0,0,1,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
2001,Yoshi 1,Vickless,3,2,4,1,0,0,1,5,1,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
2002,Mario 1,Vickless,4,0,3,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0,0,0,0,0,0,0
2003,Luigi 1,Vickless,5,1,4,1,0,0,0,1,0,0,0,4,0,1,1,0.0,0,0,0,0,0,0,0
2004,Daisy 1,Vickless,6,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0,0,0,0,0,0,0
2005,Paratroopa(G) 1,Vickless,7,2,3,1,1,0,0,3,0,0,0,3,0,1,1,0.0,0,0,0,0,0,0,0
2006,Koopa(R) 1,Vickless,8,0,2,0,0,0,0,0,1,0,1,3,0,0,0,6.666667,3,6,0,5,0,74,0
2007,Dry Bones(G) 1,Clutch1908,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
2008,Bro(B) 1,Clutch1908,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2009,Luigi 1,Clutch1908,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2010,Toadette 1,Clutch1908,3,1,3,1,0,0,0,1,0,0,0,3,1,1,1,0.0,0,0,0,0,0,0,0
2011,Toadsworth 1,Clutch1908,4,2,3,2,0,0,0,2,0,0,0,3,0,2,0,0.0,0,0,0,0,0,0,0
2012,Toad(G) 1,Clutch1908,5,1,3,0,1,0,0,2,2,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2013,Peach 1,Clutch1908,6,1,3,1,0,0,0,1,0,0,0,3,0,1,0,7.0,3,6,1,12,0,110,0
2014,Wario 1,Clutch1908,7,1,3,0,1,0,0,2,1,0,0,3,0,0,1,0.0,0,0,0,0,0,0,0
2015,Waluigi 1,Clutch1908,8,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,0
2016,Noki(G) 1,Vickless,0,2,3,2,0,0,0,2,0,0,0,3,0,1,0,0.0,0,0,0,0,0,0,0
2017,Paratroopa(G) 1,Vickless,1,2,3,2,0,0,0,2,0,0,0,3,0,0,0,6.0,5,7,1,9,0,75,0
2018,Petey 1,Vickless,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
2019,Birdo 1,Vickless,3,1,3,0,1,0,0,2,0,0,0,3,0,0,0,0.0,0,0,0,0,0,0,0
